DATETIME, L_T1, L_T2, L_T3, L_T4, L_T5, L_T6, L_T7, F_PU1, S_PU1, F_PU2, S_PU2, F_PU3, S_PU3, F_PU4, S_PU4, F_PU5, S_PU5, F_PU6, S_PU6, F_PU7, S_PU7, F_PU8, S_PU8, F_PU9, S_PU9, F_PU10, S_PU10, F_PU11, S_PU11, F_V2, S_V2, P_J280, P_J269, P_J300, P_J256, P_J289, P_J415, P_J302, P_J306, P_J307, P_J317, P_J14, P_J422, ATT_FLAG
18/10/16 13, 3.06, 2.86, 3.86, 2.69, 2.79, 5.42, 2.09, 93.71, 1.00, 93.73, 1.00, 0.00, 0.00, 34.39, 1.00, 0.00, 0.00, 0.00, 0.00, 47.98, 1.00, 35.47, 1.00, 0.00, 0.00, 31.36, 1.00, 0.00, 0.00, 0.00, 0.00, 2.98, 36.34, 22.75, 85.89, 22.82, 83.98, 21.56, 82.73, 21.44, 66.93, 39.47, 24.51, -999
18/10/16 14, 3.22, 1.99, 4.24, 2.89, 3.22, 5.50, 2.12, 92.18, 1.00, 92.20, 1.00, 0.00, 0.00, 32.96, 1.00, 0.00, 0.00, 0.00, 0.00, 47.41, 1.00, 35.76, 1.00, 0.00, 0.00, 30.54, 1.00, 0.00, 0.00, 0.00, 0.00, 2.98, 37.15, 22.11, 87.60, 22.17, 84.37, 22.52, 83.17, 22.41, 70.65, 40.37, 23.84, -999
18/10/16 15, 3.45, 1.14, 4.67, 3.18, 3.63, 5.50, 2.70, 92.63, 1.00, 92.65, 1.00, 0.00, 0.00, 32.13, 1.00, 0.00, 0.00, 0.00, 0.00, 47.20, 1.00, 35.35, 1.00, 0.00, 0.00, 30.65, 1.00, 0.00, 0.00, 0.00, 0.00, 2.98, 36.91, 21.38, 88.16, 21.43, 84.00, 22.47, 83.84, 22.36, 70.23, 40.19, 23.10, -999
18/10/16 16, 3.58, 0.55, 5.12, 3.38, 3.85, 5.50, 3.13, 95.34, 1.00, 95.36, 1.00, 0.00, 0.00, 33.07, 1.00, 0.00, 0.00, 0.00, 0.00, 49.06, 1.00, 0.00, 0.00, 0.00, 0.00, 31.41, 1.00, 0.00, 0.00, 109.55, 1.00, 2.98, 35.47, 25.59, 90.88, 25.64, 84.79, 28.53, 62.92, 28.41, 73.72, 28.69, 27.79, -999
18/10/16 17, 3.57, 1.00, 5.11, 3.51, 3.11, 5.50, 3.94, 95.49, 1.00, 95.51, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 49.78, 1.00, 0.00, 0.00, 0.00, 0.00, 32.19, 1.00, 0.00, 0.00, 98.74, 1.00, 2.98, 35.39, 27.55, 73.85, 27.51, 85.28, 28.36, 63.10, 28.24, 70.86, 30.20, 29.30, -999
18/10/16 18, 3.54, 1.51, 4.77, 3.63, 2.52, 5.50, 4.10, 95.71, 1.00, 95.73, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 49.59, 1.00, 0.00, 0.00, 0.00, 0.00, 31.61, 1.00, 0.00, 0.00, 95.75, 1.00, 2.98, 35.28, 27.88, 72.66, 27.84, 85.99, 28.36, 61.67, 28.25, 72.87, 30.51, 29.61, -999
18/10/16 19, 3.51, 1.99, 4.40, 3.88, 1.79, 5.50, 4.63, 96.21, 1.00, 96.23, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 49.90, 1.00, 0.00, 0.00, 0.00, 0.00, 31.96, 1.00, 0.00, 0.00, 92.21, 1.00, 2.98, 35.01, 28.13, 70.07, 28.09, 85.62, 28.11, 60.00, 27.99, 71.39, 30.73, 29.83, -999
18/10/16 20, 3.34, 2.41, 3.95, 3.98, 1.71, 5.50, 4.68, 96.61, 1.00, 96.63, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 50.14, 1.00, 36.08, 1.00, 0.00, 0.00, 30.35, 1.00, 0.00, 0.00, 87.69, 1.00, 2.98, 34.79, 28.29, 71.60, 28.24, 85.30, 20.91, 80.99, 20.80, 69.68, 30.86, 29.96, -999
18/10/16 21, 3.16, 2.80, 3.57, 3.95, 2.00, 5.50, 4.63, 97.12, 1.00, 97.14, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 50.16, 1.00, 35.99, 1.00, 0.00, 0.00, 29.68, 1.00, 0.00, 0.00, 83.81, 1.00, 2.97, 34.52, 28.48, 69.49, 28.44, 85.46, 20.75, 80.98, 20.64, 71.67, 31.03, 30.13, -999
18/10/16 22, 3.03, 3.16, 3.13, 3.96, 2.30, 5.29, 3.79, 96.58, 1.00, 96.60, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 50.53, 1.00, 37.58, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 84.19, 1.00, 2.98, 34.81, 28.84, 67.83, 28.80, 85.09, 26.91, 84.18, 26.91, 54.38, 31.39, 30.49, -999
18/10/16 23, 2.91, 3.33, 3.09, 3.81, 2.72, 5.05, 2.40, 96.72, 1.00, 96.74, 1.00, 0.00, 0.00, 35.69, 1.00, 0.00, 0.00, 0.00, 0.00, 50.22, 1.00, 35.49, 1.00, 0.00, 0.00, 31.36, 1.00, 0.00, 0.00, 87.23, 1.00, 2.98, 34.73, 27.72, 88.63, 27.79, 84.69, 20.58, 81.71, 20.46, 65.94, 30.72, 29.82, -999
19/10/16 00, 2.75, 3.34, 3.58, 3.63, 3.04, 5.01, 1.88, 97.19, 1.00, 97.21, 1.00, 0.00, 0.00, 35.90, 1.00, 0.00, 0.00, 0.00, 0.00, 49.76, 1.00, 34.88, 1.00, 0.00, 0.00, 31.11, 1.00, 0.00, 0.00, 84.94, 1.00, 2.97, 34.48, 27.73, 88.25, 27.80, 85.60, 20.48, 82.66, 20.37, 66.72, 30.71, 29.81, -999
19/10/16 01, 2.58, 3.33, 4.03, 3.80, 3.49, 5.15, 1.92, 95.64, 1.00, 95.66, 1.00, 0.00, 0.00, 35.18, 1.00, 0.00, 0.00, 0.00, 0.00, 48.05, 1.00, 35.31, 1.00, 0.00, 0.00, 30.82, 1.00, 0.00, 0.00, 90.30, 1.00, 2.98, 35.31, 27.79, 89.59, 27.86, 88.89, 21.13, 82.57, 21.02, 68.34, 30.78, 29.88, -999
19/10/16 02, 2.54, 3.43, 4.52, 4.45, 3.84, 5.41, 2.42, 95.60, 1.00, 95.62, 1.00, 0.00, 0.00, 34.11, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 34.50, 1.00, 0.00, 0.00, 30.61, 1.00, 0.00, 0.00, 78.86, 1.00, 2.98, 35.33, 29.70, 93.30, 29.80, 66.69, 21.32, 84.15, 21.21, 69.22, 32.23, 31.33, -999
19/10/16 03, 2.64, 3.91, 5.10, 3.27, 3.66, 5.50, 3.32, 94.60, 1.00, 94.61, 1.00, 0.00, 0.00, 33.68, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 30.57, 1.00, 0.00, 0.00, 80.19, 1.00, 2.98, 35.87, 30.29, 94.61, 30.39, 66.97, 28.37, 64.41, 28.26, 76.42, 32.83, 31.93, -999
19/10/16 04, 2.80, 4.29, 5.15, 3.49, 3.22, 5.50, 4.51, 94.88, 1.00, 94.90, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 48.53, 1.00, 0.00, 0.00, 0.00, 0.00, 29.83, 1.00, 0.00, 0.00, 81.89, 1.00, 2.98, 35.72, 29.97, 76.71, 29.93, 90.07, 28.44, 64.20, 28.34, 78.89, 32.50, 31.60, -999
19/10/16 05, 3.03, 4.67, 4.97, 4.38, 2.84, 5.34, 4.12, 94.28, 1.00, 94.30, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 49.29, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 83.50, 1.00, 2.98, 36.04, 30.38, 75.81, 30.34, 89.05, 31.36, 63.13, 31.36, 58.34, 32.92, 32.02, -999
19/10/16 06, 3.32, 5.30, 4.74, 3.75, 2.30, 4.98, 2.56, 93.11, 1.00, 93.13, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 67.08, 1.00, 2.98, 36.66, 33.41, 73.89, 33.41, 65.98, 32.07, 62.70, 32.07, 58.07, 35.68, 34.78, -999
19/10/16 07, 3.70, 5.37, 4.43, 2.99, 1.79, 5.16, 2.80, 88.83, 1.00, 88.85, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 50.12, 1.00, 0.00, 0.00, 0.00, 0.00, 33.38, 1.00, 0.00, 0.00, 0.00, 0.00, 2.98, 38.91, 28.37, 73.39, 28.33, 85.43, 31.17, 61.11, 31.04, 69.32, 42.81, 29.75, -999
19/10/16 08, 4.06, 4.84, 4.10, 3.20, 1.68, 5.39, 3.06, 92.37, 1.00, 92.38, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 49.88, 1.00, 35.83, 1.00, 0.00, 0.00, 31.29, 1.00, 0.00, 0.00, 0.00, 0.00, 2.98, 37.05, 27.86, 71.54, 27.82, 85.39, 22.57, 83.10, 22.46, 68.18, 40.51, 29.23, -999
19/10/16 09, 4.23, 4.31, 3.71, 3.39, 2.24, 5.50, 3.34, 92.15, 1.00, 92.17, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 50.07, 1.00, 35.94, 1.00, 0.00, 0.00, 30.98, 1.00, 0.00, 0.00, 0.00, 0.00, 2.98, 37.17, 27.32, 71.19, 27.28, 84.48, 22.80, 83.12, 22.69, 69.47, 40.68, 28.69, -999
19/10/16 10, 4.40, 3.78, 3.32, 3.30, 2.73, 5.50, 3.46, 91.62, 1.00, 91.64, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 49.78, 1.00, 36.18, 1.00, 0.00, 0.00, 30.97, 1.00, 0.00, 0.00, 0.00, 0.00, 2.98, 37.45, 26.81, 71.42, 26.77, 84.54, 23.08, 82.97, 22.96, 69.79, 41.02, 28.18, -999
19/10/16 11, 4.44, 3.25, 2.96, 3.29, 3.13, 5.50, 3.62, 112.58, 1.00, 0.00, 0.00, 0.00, 0.00, 33.53, 1.00, 0.00, 0.00, 0.00, 0.00, 48.21, 1.00, 35.41, 1.00, 0.00, 0.00, 30.53, 1.00, 0.00, 0.00, 0.00, 0.00, 2.99, 26.00, 23.21, 87.80, 23.28, 84.02, 22.59, 83.85, 22.48, 70.75, 38.49, 24.96, -999
19/10/16 12, 4.33, 2.39, 3.43, 3.35, 3.65, 5.50, 3.96, 113.26, 1.00, 0.00, 0.00, 0.00, 0.00, 32.54, 1.00, 0.00, 0.00, 0.00, 0.00, 48.15, 1.00, 35.04, 1.00, 0.00, 0.00, 29.53, 1.00, 0.00, 0.00, 0.00, 0.00, 2.99, 25.62, 22.47, 88.61, 22.53, 83.37, 22.58, 84.47, 22.47, 73.97, 38.17, 24.20, -999
19/10/16 13, 4.23, 1.53, 3.92, 3.22, 3.93, 5.50, 4.87, 110.09, 1.00, 0.00, 0.00, 0.00, 0.00, 34.55, 1.00, 0.00, 0.00, 0.00, 0.00, 46.91, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2.99, 27.41, 21.52, 84.39, 21.59, 84.67, 32.83, 62.85, 32.83, 55.67, 39.90, 23.27, -999
19/10/16 14, 4.51, 0.67, 4.24, 3.55, 3.17, 5.04, 2.67, 110.65, 1.00, 0.00, 0.00, 0.00, 0.00, 32.55, 1.00, 0.00, 0.00, 0.00, 0.00, 47.05, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2.99, 27.09, 20.88, 87.01, 20.93, 83.76, 32.76, 63.52, 32.76, 56.17, 39.69, 22.60, -999
19/10/16 15, 4.26, 0.61, 4.68, 3.68, 2.65, 5.22, 2.77, 116.66, 1.00, 0.00, 0.00, 0.00, 0.00, 34.76, 1.00, 0.00, 0.00, 0.00, 0.00, 48.81, 1.00, 0.00, 0.00, 0.00, 0.00, 32.26, 1.00, 0.00, 0.00, 99.57, 1.00, 2.99, 23.68, 25.25, 87.75, 25.31, 84.94, 27.12, 61.56, 27.00, 69.37, 28.30, 27.40, -999
19/10/16 16, 3.88, 0.77, 5.10, 3.79, 1.89, 5.49, 3.21, 116.97, 1.00, 0.00, 0.00, 0.00, 0.00, 34.64, 1.00, 0.00, 0.00, 0.00, 0.00, 48.71, 1.00, 0.00, 0.00, 0.00, 0.00, 32.21, 1.00, 0.00, 0.00, 97.24, 1.00, 2.99, 23.50, 25.36, 88.07, 25.43, 85.24, 26.88, 60.88, 26.76, 69.28, 28.40, 27.50, -999
19/10/16 17, 3.50, 1.05, 5.08, 3.98, 1.43, 5.50, 3.76, 118.16, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 48.66, 1.00, 34.97, 1.00, 0.00, 0.00, 29.73, 1.00, 0.00, 0.00, 83.06, 1.00, 2.99, 22.81, 26.77, 72.89, 26.74, 86.63, 19.80, 81.82, 19.70, 70.58, 29.31, 28.41, -999
19/10/16 18, 3.07, 1.40, 4.71, 4.36, 1.95, 5.50, 4.12, 118.21, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 49.17, 1.00, 35.18, 1.00, 0.00, 0.00, 29.82, 1.00, 0.00, 0.00, 80.67, 1.00, 2.99, 22.78, 26.99, 72.78, 26.95, 85.88, 19.66, 81.32, 19.55, 70.13, 29.51, 28.61, -999
19/10/16 19, 2.67, 1.72, 4.34, 4.50, 2.35, 5.50, 4.32, 121.63, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 49.33, 1.00, 33.91, 1.00, 0.00, 0.00, 29.52, 1.00, 0.00, 0.00, 65.19, 1.00, 2.99, 20.80, 26.76, 70.94, 26.72, 85.36, 17.85, 81.66, 17.75, 69.29, 29.20, 28.30, -999
19/10/16 20, 2.15, 1.88, 3.92, 4.45, 2.85, 5.50, 4.34, 120.08, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 48.97, 1.00, 34.72, 1.00, 0.00, 0.00, 29.50, 1.00, 0.00, 0.00, 69.99, 1.00, 2.99, 21.70, 27.06, 70.75, 27.02, 86.34, 18.60, 81.06, 18.50, 70.08, 29.53, 28.63, -999
19/10/16 21, 1.78, 2.37, 3.51, 3.43, 3.16, 5.50, 4.53, 120.16, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 34.80, 1.00, 0.00, 0.00, 29.74, 1.00, 0.00, 0.00, 49.98, 1.00, 2.99, 21.65, 29.17, 69.69, 29.17, 59.98, 18.42, 80.74, 18.31, 69.13, 31.36, 30.46, -999
19/10/16 22, 1.37, 2.58, 3.08, 2.96, 3.36, 5.50, 4.43, 120.76, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 49.93, 1.00, 34.21, 1.00, 0.00, 0.00, 29.95, 1.00, 0.00, 0.00, 61.12, 1.00, 2.99, 21.31, 27.51, 68.90, 27.47, 84.94, 18.11, 81.43, 18.01, 68.16, 29.94, 29.04, -999
19/10/16 23, 0.98, 2.41, 3.35, 3.10, 3.69, 5.50, 4.12, 98.85, 1.00, 98.87, 1.00, 0.00, 0.00, 35.78, 1.00, 0.00, 0.00, 0.00, 0.00, 50.15, 1.00, 34.34, 1.00, 0.00, 0.00, 29.91, 1.00, 0.00, 0.00, 80.87, 1.00, 2.97, 33.59, 26.77, 87.51, 26.84, 83.88, 19.33, 82.43, 19.23, 69.51, 29.73, 28.83, -999
20/10/16 00, 0.85, 2.35, 3.79, 2.90, 4.09, 5.50, 4.19, 97.97, 1.00, 97.99, 1.00, 0.00, 0.00, 35.19, 1.00, 0.00, 0.00, 0.00, 0.00, 49.73, 1.00, 0.00, 0.00, 0.00, 0.00, 31.05, 1.00, 0.00, 0.00, 85.01, 1.00, 2.97, 34.06, 26.75, 88.52, 26.82, 84.69, 26.00, 63.53, 25.89, 72.44, 29.73, 28.83, -999
20/10/16 01, 0.93, 2.36, 4.26, 3.03, 3.41, 5.50, 4.68, 97.72, 1.00, 97.74, 1.00, 0.00, 0.00, 32.91, 1.00, 0.00, 0.00, 0.00, 0.00, 49.46, 1.00, 0.00, 0.00, 0.00, 0.00, 30.72, 1.00, 0.00, 0.00, 86.10, 1.00, 2.97, 34.20, 26.81, 92.38, 26.87, 85.26, 26.18, 63.57, 26.07, 73.73, 29.75, 28.85, -999
20/10/16 02, 1.11, 2.43, 4.82, 3.27, 2.85, 5.24, 3.61, 97.05, 1.00, 97.07, 1.00, 0.00, 0.00, 33.40, 1.00, 0.00, 0.00, 0.00, 0.00, 49.17, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 89.94, 1.00, 2.97, 34.56, 26.91, 91.69, 26.97, 85.90, 29.22, 63.18, 29.22, 59.07, 29.88, 28.98, -999
20/10/16 03, 1.30, 2.51, 5.36, 3.60, 2.32, 4.99, 2.55, 96.27, 1.00, 96.29, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 48.08, 1.00, 0.00, 0.00, 0.00, 0.00, 31.66, 1.00, 0.00, 0.00, 84.65, 1.00, 2.98, 34.98, 28.34, 75.90, 28.31, 89.28, 26.82, 62.82, 26.71, 71.17, 30.89, 29.99, -999
20/10/16 04, 1.46, 2.89, 5.11, 4.41, 1.83, 5.37, 3.47, 95.95, 1.00, 95.97, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 47.87, 1.00, 0.00, 0.00, 0.00, 0.00, 31.35, 1.00, 0.00, 0.00, 83.81, 1.00, 2.98, 35.15, 28.70, 76.53, 28.66, 90.01, 27.09, 62.72, 26.97, 72.49, 31.23, 30.33, -999
20/10/16 05, 1.66, 3.52, 4.92, 4.02, 1.64, 5.50, 4.75, 95.73, 1.00, 95.75, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 35.26, 1.00, 0.00, 0.00, 28.71, 1.00, 0.00, 0.00, 63.44, 1.00, 2.98, 35.27, 31.32, 76.97, 31.32, 68.30, 21.00, 82.51, 20.90, 74.93, 33.58, 32.68, -999
20/10/16 06, 1.84, 4.21, 4.78, 3.11, 2.24, 5.30, 4.05, 96.10, 1.00, 96.12, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 36.54, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 59.97, 1.00, 2.98, 35.07, 31.73, 72.58, 31.73, 67.07, 26.51, 85.70, 26.51, 60.01, 33.97, 33.07, -999
20/10/16 07, 1.93, 4.56, 4.40, 3.41, 2.93, 5.03, 2.92, 96.61, 1.00, 96.63, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 49.37, 1.00, 36.20, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 72.86, 1.00, 2.98, 34.79, 29.82, 74.69, 29.78, 88.35, 26.42, 86.23, 26.42, 57.68, 32.31, 31.41, -999
20/10/16 08, 1.93, 4.79, 4.14, 4.06, 3.59, 5.11, 2.82, 96.73, 1.00, 96.75, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 49.57, 1.00, 34.88, 1.00, 0.00, 0.00, 30.70, 1.00, 0.00, 0.00, 70.30, 1.00, 2.98, 34.73, 29.96, 75.03, 29.92, 88.09, 20.39, 82.57, 20.28, 68.01, 32.44, 31.54, -999
20/10/16 09, 1.91, 5.06, 3.92, 4.35, 3.97, 5.33, 3.07, 97.01, 1.00, 97.03, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 35.40, 1.00, 0.00, 0.00, 30.96, 1.00, 0.00, 0.00, 51.84, 1.00, 2.98, 34.58, 31.98, 69.37, 31.98, 60.76, 19.97, 81.25, 19.86, 66.70, 34.19, 33.29, -999
20/10/16 10, 2.02, 5.39, 3.46, 2.93, 3.28, 5.44, 2.82, 92.48, 1.00, 92.50, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 50.66, 1.00, 0.00, 0.00, 0.00, 0.00, 32.79, 1.00, 0.00, 0.00, 0.00, 0.00, 2.98, 36.99, 28.36, 72.19, 28.32, 84.36, 28.78, 62.40, 28.65, 69.10, 40.23, 29.74, -999
20/10/16 11, 2.39, 4.86, 3.12, 2.85, 2.54, 5.50, 3.32, 91.07, 1.00, 91.09, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 50.24, 1.00, 0.00, 0.00, 0.00, 0.00, 32.62, 1.00, 0.00, 0.00, 0.00, 0.00, 2.98, 37.74, 27.85, 70.56, 27.81, 84.67, 29.65, 61.25, 29.53, 70.57, 41.17, 29.23, -999
20/10/16 12, 2.80, 4.15, 3.15, 2.90, 1.75, 5.50, 3.51, 91.00, 1.00, 91.02, 1.00, 0.00, 0.00, 34.73, 1.00, 0.00, 0.00, 0.00, 0.00, 49.04, 1.00, 0.00, 0.00, 0.00, 0.00, 31.46, 1.00, 0.00, 0.00, 0.00, 0.00, 2.98, 37.77, 23.87, 86.44, 23.94, 83.13, 30.03, 60.93, 29.92, 75.07, 41.32, 25.65, -999
20/10/16 13, 3.12, 3.26, 3.57, 2.70, 1.62, 5.50, 4.37, 93.07, 1.00, 93.09, 1.00, 0.00, 0.00, 33.84, 1.00, 0.00, 0.00, 0.00, 0.00, 48.09, 1.00, 36.15, 1.00, 0.00, 0.00, 31.08, 1.00, 0.00, 0.00, 0.00, 0.00, 2.98, 36.68, 23.20, 87.25, 23.26, 84.22, 21.80, 81.76, 21.68, 68.14, 39.83, 24.95, -999
20/10/16 14, 3.31, 2.40, 4.00, 2.94, 2.01, 5.50, 3.96, 91.17, 1.00, 91.19, 1.00, 0.00, 0.00, 33.34, 1.00, 0.00, 0.00, 0.00, 0.00, 47.27, 1.00, 36.26, 1.00, 0.00, 0.00, 30.55, 1.00, 0.00, 0.00, 0.00, 0.00, 2.98, 37.68, 22.48, 87.35, 22.55, 84.98, 22.93, 82.68, 22.82, 71.02, 40.96, 24.22, -999
20/10/16 15, 3.59, 1.54, 4.43, 3.34, 2.45, 5.50, 4.30, 92.17, 1.00, 92.19, 1.00, 0.00, 0.00, 32.56, 1.00, 0.00, 0.00, 0.00, 0.00, 47.51, 1.00, 36.04, 1.00, 0.00, 0.00, 30.04, 1.00, 0.00, 0.00, 0.00, 0.00, 2.98, 37.16, 21.70, 87.81, 21.75, 83.76, 22.74, 82.89, 22.63, 72.50, 40.48, 23.42, -999
20/10/16 16, 3.81, 0.70, 4.86, 3.41, 2.90, 5.46, 4.61, 91.31, 1.00, 91.33, 1.00, 0.00, 0.00, 32.72, 1.00, 0.00, 0.00, 0.00, 0.00, 47.28, 1.00, 37.76, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2.98, 37.61, 20.86, 86.72, 20.91, 83.34, 29.37, 86.31, 29.37, 58.07, 41.31, 22.58, -999
20/10/16 17, 3.78, 0.68, 5.28, 3.43, 3.47, 5.09, 2.90, 95.63, 1.00, 95.65, 1.00, 0.00, 0.00, 34.56, 1.00, 0.00, 0.00, 0.00, 0.00, 49.05, 1.00, 37.32, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 108.72, 1.00, 2.98, 35.32, 25.60, 88.44, 25.67, 84.84, 27.72, 85.47, 27.72, 55.98, 28.72, 27.82, -999
20/10/16 18, 3.61, 1.14, 5.04, 3.57, 3.90, 5.15, 2.61, 96.06, 1.00, 96.08, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 49.66, 1.00, 34.95, 1.00, 0.00, 0.00, 31.17, 1.00, 0.00, 0.00, 95.88, 1.00, 2.98, 35.09, 27.51, 72.83, 27.47, 85.47, 21.39, 83.45, 21.28, 67.42, 30.14, 29.24, -999
20/10/16 19, 3.54, 1.63, 4.66, 3.73, 3.46, 5.35, 2.76, 95.62, 1.00, 95.64, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 49.91, 1.00, 0.00, 0.00, 0.00, 0.00, 32.54, 1.00, 0.00, 0.00, 95.44, 1.00, 2.98, 35.33, 27.97, 69.80, 27.93, 85.44, 28.26, 62.10, 28.13, 69.46, 30.59, 29.69, -999
20/10/16 20, 3.52, 2.11, 4.19, 3.83, 2.66, 5.50, 3.32, 95.62, 1.00, 95.64, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 50.18, 1.00, 0.00, 0.00, 0.00, 0.00, 32.60, 1.00, 0.00, 0.00, 93.13, 1.00, 2.98, 35.32, 28.28, 71.32, 28.24, 85.23, 28.23, 60.46, 28.10, 69.25, 30.89, 29.99, -999
20/10/16 21, 3.50, 2.55, 3.79, 3.81, 1.75, 5.50, 3.25, 96.06, 1.00, 96.08, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 50.18, 1.00, 0.00, 0.00, 0.00, 0.00, 32.52, 1.00, 0.00, 0.00, 89.80, 1.00, 2.98, 35.09, 28.54, 67.54, 28.50, 85.49, 28.08, 59.61, 27.96, 69.38, 31.13, 30.23, -999
20/10/16 22, 3.34, 2.95, 3.28, 3.86, 1.70, 5.50, 3.12, 96.14, 1.00, 96.16, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 50.32, 1.00, 36.16, 1.00, 0.00, 0.00, 30.55, 1.00, 0.00, 0.00, 86.32, 1.00, 2.98, 35.05, 28.74, 69.68, 28.70, 85.41, 21.09, 81.03, 20.98, 69.18, 31.31, 30.41, -999
20/10/16 23, 3.19, 3.23, 3.08, 3.86, 1.99, 5.50, 3.27, 96.91, 1.00, 96.93, 1.00, 0.00, 0.00, 35.92, 1.00, 0.00, 0.00, 0.00, 0.00, 49.72, 1.00, 36.15, 1.00, 0.00, 0.00, 30.83, 1.00, 0.00, 0.00, 87.73, 1.00, 2.98, 34.63, 27.63, 88.13, 27.70, 85.58, 20.54, 80.49, 20.43, 67.69, 30.63, 29.73, -999
21/10/16 00, 2.99, 3.25, 3.55, 3.97, 2.17, 5.50, 3.03, 96.29, 1.00, 96.30, 1.00, 0.00, 0.00, 35.84, 1.00, 0.00, 0.00, 0.00, 0.00, 49.68, 1.00, 35.90, 1.00, 0.00, 0.00, 30.27, 1.00, 0.00, 0.00, 89.64, 1.00, 2.98, 34.97, 27.66, 88.30, 27.73, 85.70, 21.02, 81.41, 20.91, 70.02, 30.67, 29.77, -999
